sin_identity,schedule_number,special_item_number,sin_group_title,sin_description1,sin_description2,sin_order,co_fname,co_lname,co_phone,co_email
3419,72,31 401              , ,Resilient (hard surface) tile  ,"Including, but not limited to, vinyl composition tile, solid vinyl tile, rubber tile, linoleum, residential, ESD tile and Vinyl and laminate plank and prefinished, engineered wood",0,,,,
3420,72,31 402              , ,Resilient (hard surface) sheet flooring  ,"Including, but not limited to, vinyl sheet with and without backing, linoleum, rubber sheet, residential grade sheet and electrostatic discharge (ESD) protection sheet flooring",0,,,,
3421,72,31 501              , ,Mats and matting (with and without logos)  ,"SMALL BUSINESS SET ASIDE.  Interlocking modular mats, Carpet type mats and matting shall be nylon, polyester, polypropylene (including grass type), Antistatic, carpet type, Wire woven rubber or plastic link mats with logos and Industrial carpet tile",0,,,,
3422,72,31 502              , ,Mats and matting (with and without logos)  ,"Resilient mats and matting with and without logos, unbacked, open construction, polyethylene (such as Astroturf type) with and without logos, vinyl or vinyl coated fiber mats and matting, with solid attached cushion, anti-slip mats and matting, anti-fatigue mats and matting, and Interlocking modular mats with closed grid construction",0,,,,
3423,72,31 601              , ,"Recycled and/or biobased content (as defined in the Farm Security and Rural Investment Act of 2002, as amended) flooring","Broadloom carpet, carpet tiles, and carpet cushion; resilient (hard surface) sheet, tile and planks; and mats and matting",0,,,,
3424,72,31 602              , ,Flooring Recycling Programs, ,0,,,,
3426,72,31 604              , ,Ancillary Supplies and Services,"Ancillary supplies and/or services are support supplies and/or services which are not within the scope of any other SIN on this schedule.  These supplies and/or services are necessary to compliment a contractor's offerings to provide a solution to a customer requirement. This SIN may be used for orders and blanket purchase agreements that involve work or a project that is solely associated with the supplies and/or services purchased under this schedule. This SIN EXCLUDES purchases that are exclusively for supplies and/or services already available under another schedule.  
              
Special Instructions: The work performed under this SIN shall be associated with existing SIN(s) that are part of this schedule.  Ancillary supplies and/or services shall not be the primary purpose of the work ordered, but be an integral part of the total solution offered.  Ancillary supplies and/or services may only be ordered in conjunction with or in support of supplies or services purchased under another SIN(s) of the same schedule. Offerors may be required to provide additional information to support a determination that their proposed ancillary supplies and/or services are commercially offered in support of one or more SIN(s) under this schedule. 
",0,,,,
3427,72,31 998              ,Worldwide Products (International) SIN, , ,1,,,,
3436,66,58 8                , ,"Professional Audio/Video Assessment, Design, and Integration", ,0,,,,
3438,66,58 9                , ,Professional Audio/Video Production, ,0,,,,
3441,71,71 321              ,Group D-Special Use Furniture,Correctional Institution Furniture.,"(SMALL BUSINESS SET ASIDE)  Furniture and accessories specifically designed for use in correctional institutions.  Items are manufactured using materials and construction methods suitable for the correctional environment.  Items include single beds; bunk and bunkable beds; lockers; wardrobes; desks including models with attached seats; tables including models with attached seats; stools; benches; safety hooks; shelves; and accessories.  Floor mounted and wall mounted versions of items and accessories which include steps, ladders, safety rails, shelves and drawers for beds also included. Bunk beds, bunkable beds, and underbed drawers pass all applicable performance tests.",0,,,,
3444,48,451 3               , ,LOCAL COURIER DELIVERY SERVICES,"(SMALL BUSINESS SET ASIDE)  Commercial Local Courier delivery services for Same Day delivery of extremely urgent letters, small packages, and heavyweight shipments, including any accessorial services, within a Metropolitan City Area, offered to the general public.",10,,,,
3445,599,599 1               , ,TRAVEL CONSULTING SERVICES,"Commercial services for the provision of travel consulting services which includes, but not limited to:  travel systems analysis, assessment, travel policy development and analysis, market research, requirements development, supplier negotiations, supplier management, training, travel management, security, technology support, travel expense management, benchmarking, cost and revenue reports, travel management publications, risk management, and study/survey services.  ",1,,,,
3446,599,599 2               , ,TRAVEL AGENT SERVICES,"Commercial services for the provision of travel agent services which includes, but not limited to:  travel arrangement, reservation, ticketing and traveler support for air, rail, lodging, car rental and ancillary services, which includes arrangement, booking, ticketing, business services, delivery services, destination services, documentation, frequent flyer and loyalty programs, help desk, international services, invoicing, reconciliation, profile management, quality control, and reporting.  ",2,,,,
3447,599,599 3               , ,Lodging Negotiations and Management Services,"A full suite of lodging negotiation and management services for transient, extended stay and corporate housing needs are available which includes, but is not limited to, electronic lodging request for proposal systems and services, lodging locator and reservation services, pricing and negotiation assistance and support, leasing/rental support, lodging management services, marketing, rate/compliance audits, benchmarking, and reporting.  Services also include lodging management support for disaster planning, recovery support, and pre-positioning support for first responders, incident management teams, evacuees/victims, and associated personnel supporting the emergency effort. ",3,,,,
3448,66,66 200              ,"Laboratory Instruments, Furnishings and LIMS","Laboratory Information Management System (LIMS)
","These software packages and services allow customers to utilize computerized automation of laboratory sample processing. Packages include general LIMS for routine laboratory data management and specialized LIMS when customer requirements dictate customized software design. Sample tracking, sample analysis, test organization and test reports are generated using the laboratory's database on customer or supplier servers using operating systems such as Microsoft's Access, Oracle, Sybase, Informix or SQL Server. Basic system managed workflow functions include data capture, data entry, data organization, data analysis, report generation, workload assignment, quality analysis, audit trails and test archiving. The supplier analyzes the customer's needs regarding the laboratory operation, technology, personnel assignments, test and data management, LIMS installation, security and administration. Packages and services are then formulated, designed and fabricated to meet the customer's needs. ",0,,,,
3449,65 II A   ,A-200               , ,Equipment Maintenance and Repair, ,0,,,,
1449,66,66 102              ,"Laboratory Instruments, Furnishings and LIMS","Ancillary Supplies And/Or Services And Related Chemistries, Supplies And Consumables","These devices are specialized blood analyzers for the testing of specific parameters of blood or serum for therapeutic monitoring and routine screening.  Includes, but not limited to, reagents, solutions and other directly related supplies.",0,,,,
1321,66,603 1               ,"Laboratory Instruments, Furnishings and LIMS",Ph And Ion-Selective Meters,"Ion-selective and pH meters are designed to determine the concentration of hydrogen ions (as pH) in a chemical solution.  PH meters are used to measure the acidity or alkalinity of chemical solutions. Ion selective meters can detect the concentration of selected ions in water, food, electroplating and photographic solutions.",0,,,,
1453,66,66 118              ,"Laboratory Instruments, Furnishings and LIMS","Microplate Readers And Washers, And Cell Harvesting Apparatus",These items are used in biomedical research for the isolation and identification of cellular components or biochemical reactions including immunoassays.  Includes multi-well microplates and other ancillary items.,0,,,,
3450,621 I     ,621-050             , ,"Radiologic Technology
(Includes: Cardiovascular Technologists (General, Interventional, ECHO and Cath Lab); Computer Tomography (CT) Technologist; Magnetic Resonance Imaging Technologist (MRI); Mammographer; Nuclear Medicine Technologist; PET Technologist; Radiation Therapy; Radiation Therapist; Radiological Therapeutic Technologist (RRT); Imaging (Diagnostic, Radiographer, X-Ray); Sonography/Ultrasound - Including Abdomen, OB/GYN, Vascular and Cardiac)
", ,0,,,,
994,621 I     ,621-002             , ,"Physician - Emergency Medicine
(Includes: Trauma I, II, III, IV & V)
", ,0,,,,
1007,621 I     ,621-009             , ,Physician - Hematologist, ,0,,,,
1016,621 I     ,621-016             , ,"Physician -Pathology
(Includes: Cytopathologist; Dermatopathologist; Hematologist; Neuropathologist; Pediatric Pathologist)
", ,0,,,,
1021,621 I     ,621-020             , ,"Physician - Radiology
(Includes: Diagnostic; MRI/Mammogram; Interventional and Oncology)
", ,0,,,,
1028,621 I     ,621-022             , ,Physician - Urology (Includes General and Surgery), ,0,,,,
1050,65 I B    ,42-2A               , ,"Single source drug, innovator multiple source drug, and any biological product identified under Section 600.3 of Title 21, CFR. ",This SIN is not available through GSA Advantage.  Pricing information can be obtained by clicking on this link to the VA Pharmacy Benefits Management website: http://www.pbm.va.gov,0,,,,
1055,65 I B    ,622, ,"Antiseptic Liquid Skin Cleansing Detergents and Soaps (including Dispensers and Accessories) and Topical Dressings (i.e. Powders, Foams, Liquids, Gels, etc.) without NDC Numbers ","This includes but is not limited to medicated shampoos, soaps, rinses, washes, creams, lotion, gels, powders, ointments, etc.; antiseptic washes, gels, lotions, etc.; and hemostatic/antihemorrhagic agents.

Note:  This does not include impregnated/treated dressings (e.g. medicated bandages, gauze, etc.) which fall under Schedule 65 II A, Medical Equipment and Supply, SINs A-2, A-3, and A-4 or Schedule 65 II C, Dental Equipment and Supplies.  Topical Dressings with NDC numbers fall under SINs 42-2a and 42-2b, as appropriate.  This SIN does not include common antibacterial soaps/gels/hand sanitizers as these belong under GSA Schedule 75, Office Products/Supplies and Services and New Products/Technology, SIN 75-85 Restroom Products.
",0,,,,
1063,65 II A   ,A-13B               ,"Gloves, Medical Surgeon's and Examinary",Sterile Vinyl Gloves, ,0,,,,
1071,65 II A   ,A-14E               ,Medical Diagnostic Instruments,Hand-Held Dopplers and Pulse-Oximeters, ,0,,,,
1076,65 II A   ,A-15C               ,"Needles, Syringes, and Jet Injectors",Syringe and Needle Combination, ,0,,,,
1084,65 II A   ,A-18B               ,"Sets, Kits and Trays, Disposable","Treatment Sets, Kits and Trays, Disposable", ,0,,,,
1097,65 II A   ,A-22D               ,Urine and Specimen Collection Products,Other Urinary Supplies, ,0,,,,
1104,65 II A   ,A-25C               ,Orthopedic/Surgical Supports,Immobiliers/Soft Goods, ,0,,,,
1110,65 II A   ,A-26B               ,Incontinent Products,Diapers, ,0,,,,
1124,65 II A   ,A-35                ,,Vision Screening and Test Equipment, ,0,,,,
1128,65 II A   ,A-39                ,,"Laser, Surgical", ,0,,,,
1134,65 II A   ,A-41                ,,Electrosurgical Apparatus, ,0,,,,
1138,65 II A   ,A-45                ,,Suction/Aspiration Equipment, ,0,,,,
1149,65 II A   ,A-50D               ,Physiological Monitors,Blood Gas Monitors, ,0,,,,
1155,65 II A   ,A-52                ,,Respiratory Monitors, ,0,,,,
1160,65 II A   ,A-57                ,,Pulmonary Function Testing Equipment, ,0,,,,
1174,65 II A   ,A-62                ,,EMG Apparatus, ,0,,,,
1179,65 II A   ,A-67                ,,Autotransfusion Units (Blood), ,0,,,,
1183,65 II A   ,A-71                ,,"Whirlpool/Hydobaths and Bath Units, Medical", ,0,,,,
1194,65 II A   ,A-7C                ,Surgical Handles/Blades,Blade/Handle Combination, ,0,,,,
1200,65 II A   ,A-85                ,,"Cabinets, Warming", ,0,,,,
1208,65 II A   ,A-90A               ,Sterilization Products,Sterilization Control Indicators/Aids , ,0,,,,
1213,65 II A   ,A-93                ,,Pharmacy Furniture, ,0,,,,
1218,65 II C   ,C-12                ,"DENTAL MATERIAL, OPERATORY & RELATED ITEMS",Cavity Preparation Materials, ,0,,,,
1232,65 II C   ,C-25                ,LABORATORY,Denture Base Materials , ,0,,,,
1243,65 II C   ,C-32A               ,"HANDPIECES, DENTAL & ACCESSORIES","Handpieces, Dental & Accessories - Air Driven, Electric - Disposable", ,0,,,,
1252,65 II C   ,C-39                ,"STOOLS, CHAIRS, CABINETS","StoolS - Dentist, Assistant, Hygienist", ,0,,,,
1262,65 II F   ,F-1                 ,,"Wheelchairs, Accessories & Replacement Parts, Wheelchairs, Manual (Including Sports)", ,0,,,,
1268,65 II F   ,F-6B                ,Wheelchair Accessories,Oxygen Tank Holders, ,0,,,,
1273,65 II F   ,F-9A                ,Patient Aids,Walkers, ,0,,,,
1279,65 II F   ,F-INP               ,,"Introduction of New Products under 65 II F, Patient Mobility Devices", ,0,,,,
1292,65 VII    ,555-2               ,,Chemistry, ,2,,,,
1296,65 VII    ,555-6               ,,Microbiology, ,6,,,,
1349,66,602 17              ,"Test and Measurement Equipment, Unmanned Scientific Vehicles","Laboratory Bench And Rack Power Supplies, Mount Type, Programmable 
","Laboratory power supplies used on lab benches and automated test systems as sources of precise and controlled power and for the measurement of voltage, current and power. Examples of such instruments include voltage sources, current sources, source swatters and components, power controllers, switching and high voltage power supplies. Excludes uninterruptible power supplies and supplies designed for line power conditioning and isolation. Excludes supplies designed for dedicated use with a specific type of laboratory instrument or designed for installation in an instrument or other apparatus.
",3,,,,
1363,66,602 32              ,"Test and Measurement Equipment, Unmanned Scientific Vehicles","Temperature/Heat Imaging Instruments; Humidity Standards And Calibrators, Heat Energy Measuring Instruments And Temperature Controlling Instruments","The temperature/heat imaging instruments are used to measure and visually display the temperature gradients in a specimen. Areas of different temperature are displayed in differing colors on the display device (usually a CRT). Typically used in applications such as applied research, process control, preventive maintenance and security. The humidity standards and calibrator equipment is used to calibrate test and measurement for humidity. Examples of such equipment include chilled mirror dew/frost point hygrometers, humidity transfer standards, standard hygrometers, chilled mirror standards, humidity/relative humidity generator chamber standards. The heat energy-measuring instruments are used to measure the heat flux or heat content of a specimen.",5,,,,
1387,66,627 14              ,"Test and Measurement Equipment, Unmanned Scientific Vehicles","LightWave Test Instruments
","Lightwave test instruments include lightwave signal sources and laser source accessories, lightwave analyzers, lightwave polarization analyzers, optical spectrum analyzers, optical power meters, optical time domain reflectometer OTDR's, fiber optic cable test sets/fault detectors, fiber optic talk test sets, fiber network analyzers, and laser source accessories.
",21,,,,
1400,66,627 23              ,"Test and Measurement Equipment, Unmanned Scientific Vehicles","Voltmeters, Ammeters And Multi-Meters","Voltmeters measure voltage, ammeters measure current, and multimeters measure voltage, current and other electrical parameters such as resistance, frequency, etc. Examples of such instruments include digital multi-meters (DMM's), analog display meters, bar graph display meters, Kilovolt (kV) meters, volt detectors, and clamp-on meters.",27,,,,
1408,66,627 32              ,"Test and Measurement Equipment, Unmanned Scientific Vehicles","AC Wiring Analyzers
","Self-contained portable instruments specialized for line power wiring analysis. Includes neutral and ground fault detectors and wiring safety analyzers, phase sequence indicators, and motor wiring sequence indicators. Other examples include AC power outlet testers, GFCI testers, continuity testers, and branch current analyzers. Excludes telephone line analyzers/tracers.
",35,,,,
1418,66,627 5001            ,"Test and Measurement Equipment, Unmanned Scientific Vehicles",Leasing Of Equipment,"This solution offers customers an additional choice to purchasing. Examples of leasing programs available include, but not limited to: Lease to Ownership (Capital Lease); Lease with Option to Own (Operating Lease); Lease of Solution",8,,,,
1469,66,66 606              ,Geophysical and Environmental Analysis Equipment,"Soil Temperature And Moisture Measuring Instruments, Plant Moisture Analysis Instruments","Soil moisture analyzers allow the water content of soil samples to be determined. Plant moisture analyzers allow the water content of plant specimens to be determined. Both types of instrument are primarily used in applications such as agricultural research and engineering analysis of solid materials. Includes directly related options and accessories.  Examples included Soil temperature measuring instruments, Soil moisture measuring instruments, and Moisture analyzers for plants.",0,,,,
1471,66,66 608              ,Geophysical and Environmental Analysis Equipment,"Humidity, Precipitation and Wind Measuring Instruments 
","Humidity measuring instruments measure either the relative humidity or humidity content of ambient air. Precipitation measuring instruments measure the amount of precipitation which has fallen during a given time period. Wind measuring instruments measure parameters related to the motion of ambient air, such as wind speed or wind direction. All of these instruments are used to measure weather-related phenomena. Includes directly related options and accessories.  Examples include Humidity measuring and recording instruments, Precipitation measuring and recording instruments, Wind measuring and recording instruments.",0,,,,
1479,66,66 616              ,Geophysical and Environmental Analysis Equipment,"Liquid/ Gas Flow Measuring Instruments, Liquid Level Measuring Instruments 
","Liquid/gas flow instruments measure the flow of liquids or gases in pipes, ducts, or tubes. Level instruments measure the fluid level within a containing vessel. Liquid/gas flow instruments are commonly used in applications such as laboratory research, ventilation airflow measurement, industrial fluid flow, and process flow. Level instruments are commonly used in applications such as laboratory research, process control, and industrial tank level monitoring. Includes directly related options and accessories.
",0,,,,
1487,66 III    ,605-1B              ,Clinical Chemistry Analyzers,Low Maintenance/Complexity Analyzers, ,0,,,,
1556,71,71 1                ,Group A-Packaged Furniture Program,Packaged Office Furniture,"This SIN is designed for experienced integrators offering a total tenant outfitting solution necessary for customers to furnish an entire office, conference room, common area, etc. The individual products of the packages shall conform to all technical requirements for the SINS under the applicable Multiple Award Schedules (MAS). Integrators under this SIN have provided a GSA catalog/price list from their suppliers as evidence that all proposed items are awarded under an MAS contract, and have been determined compliant with the applicable terms and conditions.

NOTE: Commercially available products under this SIN may be covered by the U.S. Environmental Protection Agency Comprehensive Procurement Guidelines (recycled content) program.",0,,,,
1566,71,7105-01-419-5299    ,, , ,0,,,,
1570,71 II H   ,7105-01-419-5312    ,, , ,0,,,,
1575,71 II H   ,7105-01-419-5323    ,, , ,0,,,,
1581,71 II H   ,7105-01-419-5341    ,, , ,0,,,,
1585,71 II H   ,7105-01-419-5354    ,, , ,0,,,,
1589,71 II H   ,7105-01-419-7152    ,, , ,0,,,,
1594,71 II H   ,7105-01-419-7157    ,, , ,0,,,,
1602,71 II H   ,7105-01-419-7165    ,, , ,0,,,,
1611,71 II H   ,7105-01-419-7174    ,, , ,0,,,,
1616,71 II H   ,7105-01-419-7179    ,, , ,0,,,,
1617,71 II H   ,7105-01-419-7180    ,, , ,0,,,,
1621,71 II H   ,7105-01-419-7184    ,, , ,0,,,,
1630,71 II H   ,7105-01-419-7193    ,, , ,0,,,,
1634,71 II H   ,7105-01-419-7197    ,, , ,0,,,,
1638,71 II H   ,7105-01-419-7201    ,, , ,0,,,,
1643,71 II H   ,7105-01-419-7206    ,, , ,0,,,,
1652,71 II H   ,7105-01-419-7215    ,, , ,0,,,,
1653,71 II H   ,7105-01-419-7216    ,, , ,0,,,,
1657,71 II H   ,7105-01-419-7220    ,, , ,0,,,,
1661,71 II H   ,7105-01-419-7224    ,, , ,0,,,,
1666,71 II H   ,7105-01-419-7229    ,, , ,0,,,,
1674,71 II H   ,7105-01-419-7237    ,, , ,0,,,,
1679,71 II H   ,7105-01-419-7242    ,, , ,0,,,,
1683,71 II H   ,7105-01-419-7246    ,, , ,0,,,,
1688,71 II H   ,7105-01-419-7251    ,, , ,0,,,,
1693,71 II H   ,7105-01-419-7256    ,, , ,0,,,,
1697,71 II H   ,7105-01-419-7260    ,, , ,0,,,,
1702,71 II H   ,7105-01-419-7265    ,, , ,0,,,,
1706,71 II H   ,7105-01-419-7269    ,, , ,0,,,,
1715,71 II H   ,7105-01-419-7278    ,, , ,0,,,,
1724,71 II H   ,7105-01-419-7287    ,, , ,0,,,,
1725,71 II H   ,7105-01-419-7288    ,, , ,0,,,,
1729,71 II H   ,7105-01-419-7292    ,, , ,0,,,,
1733,71 II H   ,7105-01-419-7296    ,, , ,0,,,,
1742,71 II H   ,7105-01-419-7305    ,, , ,0,,,,
1746,71 II H   ,7105-01-419-7309    ,, , ,0,,,,
1751,71 II H   ,7105-01-419-7314    ,, , ,0,,,,
1755,71 II H   ,7105-01-419-7318    ,, , ,0,,,,
1761,71 II H   ,7105-01-419-7324    ,, , ,0,,,,
1765,71 II H   ,7105-01-419-7328    ,, , ,0,,,,
1769,71 II H   ,7105-01-419-7332    ,, , ,0,,,,
1774,71 II H   ,7105-01-419-7337    ,, , ,0,,,,
1778,71 II H   ,7105-01-419-7341    ,, , ,0,,,,
1787,71 II H   ,7105-01-419-7350    ,, , ,0,,,,
1791,71 II H   ,7105-01-419-7354    ,, , ,0,,,,
1796,71 II H   ,7105-01-419-7359    ,, , ,0,,,,
1797,71 II H   ,7105-01-419-7360    ,, , ,0,,,,
1805,71 II H   ,7105-01-419-7368    ,, , ,0,,,,
1810,71 II H   ,7105-01-419-7373    ,, , ,0,,,,
1814,71 II H   ,7105-01-419-7377    ,, , ,0,,,,
1818,71 II H   ,7105-01-419-7381    ,, , ,0,,,,
1827,71 II H   ,7105-01-419-7391    ,, , ,0,,,,
1833,71 II H   ,7105-01-419-7397    ,, , ,0,,,,
1837,71 II H   ,7105-01-419-7401    ,, , ,0,,,,
1841,71 II H   ,7105-01-419-7405    ,, , ,0,,,,
1846,71 II H   ,7105-01-419-7410    ,, , ,0,,,,
1854,71 II H   ,7105-01-419-7419    ,, , ,0,,,,
1859,71 II H   ,7105-01-419-7424    ,, , ,0,,,,
1863,71 II H   ,7105-01-419-7428    ,, , ,0,,,,
1868,71 II H   ,7105-01-419-7433    ,, , ,0,,,,
1873,71 II H   ,7105-01-419-7438    ,, , ,0,,,,
1877,71 II H   ,7105-01-419-7442    ,, , ,0,,,,
1882,71 II H   ,7105-01-419-7447    ,, , ,0,,,,
1886,71 II H   ,7105-01-419-7451    ,, , ,0,,,,
1890,71 II H   ,7105-01-419-7455    ,, , ,0,,,,
1899,71 II H   ,7105-01-419-7464    ,, , ,0,,,,
1904,71 II H   ,7105-01-419-7469    ,, , ,0,,,,
1905,71 II H   ,7105-01-419-7470    ,, , ,0,,,,
1909,71 II H   ,7105-01-419-7474    ,, , ,0,,,,
1918,71 II H   ,7105-01-419-7483    ,, , ,0,,,,
1922,71 II H   ,7105-01-419-7487    ,, , ,0,,,,
1926,71 II H   ,7105-01-419-7492    ,, , ,0,,,,
1931,71 II H   ,7105-01-419-7497    ,, , ,0,,,,
1940,71 II H   ,7105-01-419-7506    ,, , ,0,,,,
1945,71 II H   ,7105-01-419-7511    ,, , ,0,,,,
1949,71 II H   ,7105-01-419-7515    ,, , ,0,,,,
1954,71 II H   ,7105-01-419-7520    ,, , ,0,,,,
1958,71 II H   ,7105-01-419-7524    ,, , ,0,,,,
1967,71 II H   ,7105-01-419-7533    ,, , ,0,,,,
1971,71 II H   ,7105-01-419-7537    ,, , ,0,,,,
1976,71 II H   ,7105-01-419-7542    ,, , ,0,,,,
1977,71 II H   ,7105-01-419-7543    ,, , ,0,,,,
1985,71 II H   ,7105-01-419-7551    ,, , ,0,,,,
1990,71 II H   ,7105-01-419-7556    ,, , ,0,,,,
1994,71 II H   ,7105-01-419-7560    ,, , ,0,,,,
1998,71 II H   ,7105-01-419-7564    ,, , ,0,,,,
2003,71 II H   ,7105-01-419-7570    ,, , ,0,,,,
2012,71 II H   ,7105-01-419-7579    ,, , ,0,,,,
2013,71 II H   ,7105-01-429-0430    ,, , ,0,,,,
2017,71 II H   ,7105-01-429-0435    ,, , ,0,,,,
2021,71 II H   ,7105-01-429-0439    ,, , ,0,,,,
2030,71 II H   ,7105-01-429-0457    ,, , ,0,,,,
2034,71 II H   ,7105-01-429-0461    ,, , ,0,,,,
2039,71 II H   ,7105-01-429-0466    ,, , ,0,,,,
2043,71 II H   ,7105-01-429-0470    ,, , ,0,,,,
2049,71 II H   ,7105-01-429-0477    ,, , ,0,,,,
2057,71 II H   ,7105-01-429-0487    ,, , ,0,,,,
2062,71 II H   ,7105-01-429-0493    ,, , ,0,,,,
2066,71 II H   ,7105-01-429-0497    ,, , ,0,,,,
2070,71 II H   ,7105-01-429-0503    ,, , ,0,,,,
2079,71 II H   ,7105-01-429-0514    ,, , ,0,,,,
2084,71 II H   ,7105-01-429-0520    ,, , ,0,,,,
2085,71 II H   ,7105-01-429-0521    ,, , ,0,,,,
2089,71 II H   ,7105-01-429-0526    ,, , ,0,,,,
2098,71 II H   ,7105-01-429-0540    ,, , ,0,,,,
2102,71 II H   ,7105-01-429-0544    ,, , ,0,,,,
2106,71 II H   ,7105-01-429-0548    ,, , ,0,,,,
2111,71 II H   ,7105-01-429-0557    ,, , ,0,,,,
2115,71 II H   ,7105-01-429-0561    ,, , ,0,,,,
2121,71 II H   ,7105-01-429-0568    ,, , ,0,,,,
2125,71 II H   ,7105-01-429-0573    ,, , ,0,,,,
2129,71 II H   ,7105-01-429-0578    ,, , ,0,,,,
2134,71 II H   ,7105-01-429-0583    ,, , ,0,,,,
2142,71 II H   ,7105-01-429-0594    ,, , ,0,,,,
2147,71 II H   ,7105-01-429-0601    ,, , ,0,,,,
2151,71 II H   ,7105-01-429-0605    ,, , ,0,,,,
2156,71 II H   ,7105-01-429-0612    ,, , ,0,,,,
2161,71 II H   ,7105-01-429-0617    ,, , ,0,,,,
2170,71 II H   ,7105-01-429-0630    ,, , ,0,,,,
2174,71 II H   ,7105-01-429-0634    ,, , ,0,,,,
2178,71 II H   ,7105-01-429-0638    ,, , ,0,,,,
2183,71 II H   ,7105-01-429-0644    ,, , ,0,,,,
2192,71 II H   ,7105-01-429-0656    ,, , ,0,,,,
2193,71 II H   ,7105-01-429-0657    ,, , ,0,,,,
2197,71 II H   ,7105-01-429-0662    ,, , ,0,,,,
2201,71 II H   ,7105-01-429-0666    ,, , ,0,,,,
2210,71 II H   ,7105-01-429-0676    ,, , ,0,,,,
2214,71 II H   ,7105-01-429-0682    ,, , ,0,,,,
2219,71 II H   ,7105-01-429-0687    ,, , ,0,,,,
2223,71 II H   ,7105-01-429-0695    ,, , ,0,,,,
2228,71 II H   ,7105-01-429-0700    ,, , ,0,,,,
2233,71 II H   ,7105-01-429-0707    ,, , ,0,,,,
2237,71 II H   ,7105-01-429-0714    ,, , ,0,,,,
2242,71 II H   ,7105-01-429-0720    ,, , ,0,,,,
2246,71 II H   ,7105-01-429-0726    ,, , ,0,,,,
2255,71 II H   ,7105-01-429-0735    ,, , ,0,,,,
2259,71 II H   ,7105-01-429-0741    ,, , ,0,,,,
2264,71 II H   ,7105-01-436-2939    ,, , ,0,,,,
2265,71 II H   ,7105-01-436-2940    ,, , ,0,,,,
2273,71 II H   ,7105-01-436-2948    ,, , ,0,,,,
2282,71 II H   ,7105-01-436-2957    ,, , ,0,,,,
2286,71 II H   ,7105-01-436-2961    ,, , ,0,,,,
2291,71 II H   ,7105-01-436-2966    ,, , ,0,,,,
2295,71 II H   ,7105-01-436-2970    ,, , ,0,,,,
2301,71 II H   ,7105-01-436-2976    ,, , ,0,,,,
2305,71 II H   ,7105-01-436-2980    ,, , ,0,,,,
2309,71 II H   ,7105-01-436-2984    ,, , ,0,,,,
2314,71 II H   ,7105-01-436-2989    ,, , ,0,,,,
2322,71 II H   ,7105-01-436-2997    ,, , ,0,,,,
2327,71 II H   ,7105-01-436-3002    ,, , ,0,,,,
2331,71 II H   ,7105-01-436-3006    ,, , ,0,,,,
2336,71 II H   ,7105-01-436-3011    ,, , ,0,,,,
2337,71 II H   ,7105-01-436-3012    ,, , ,0,,,,
2345,71 II H   ,7105-01-436-3020    ,, , ,0,,,,
2350,71 II H   ,7105-01-436-3025    ,, , ,0,,,,
2354,71 II H   ,7105-01-436-3029    ,, , ,0,,,,
2358,71 II H   ,7105-01-436-3033    ,, , ,0,,,,
2367,71 II H   ,7105-01-436-3042    ,, , ,0,,,,
2372,71 II H   ,7105-01-436-3047    ,, , ,0,,,,
2373,71 II H   ,7105-01-436-3048    ,, , ,0,,,,
2377,71 II H   ,7105-01-436-3052    ,, , ,0,,,,
2386,71 II H   ,7105-01-436-3061    ,, , ,0,,,,
2394,71 II H   ,7105-01-436-3069    ,, , ,0,,,,
2399,71 II H   ,7105-01-436-3074    ,, , ,0,,,,
2403,71 II H   ,7105-01-436-3078    ,, , ,0,,,,
2408,71 II H   ,7105-01-436-3083    ,, , ,0,,,,
2413,71 II H   ,7105-01-436-3088    ,, , ,0,,,,
2417,71 II H   ,7105-01-436-3092    ,, , ,0,,,,
2422,71 II H   ,7105-01-436-3097    ,, , ,0,,,,
2426,71 II H   ,7105-01-436-3101    ,, , ,0,,,,
2435,71 II H   ,7105-01-436-3110    ,, , ,0,,,,
2439,71 II H   ,7105-01-436-3114    ,, , ,0,,,,
2444,71 II H   ,7105-01-436-3119    ,, , ,0,,,,
2445,71 II H   ,7105-01-436-3120    ,, , ,0,,,,
2449,71 II H   ,7105-01-436-3124    ,, , ,0,,,,
2458,71 II H   ,7105-01-436-3133    ,, , ,0,,,,
2462,71 II H   ,7105-01-436-3137    ,, , ,0,,,,
2466,71 II H   ,7105-01-446-8978    ,, , ,0,,,,
2471,71 II H   ,7105-01-446-8983    ,, , ,0,,,,
2480,71 II H   ,7105-01-446-8993    ,, , ,0,,,,
2481,71 II H   ,7105-01-446-8994    ,, , ,0,,,,
2485,71 II H   ,7105-01-446-8998    ,, , ,0,,,,
2489,71 II H   ,7105-01-446-9002    ,, , ,0,,,,
2498,71 II H   ,7105-01-447-0239    ,, , ,0,,,,
2507,71 II H   ,7105-01-447-0248    ,, , ,0,,,,
2511,71 II H   ,7105-01-447-0252    ,, , ,0,,,,
2516,71 II H   ,7105-01-447-0257    ,, , ,0,,,,
2517,71 II H   ,7105-01-447-0258    ,, , ,0,,,,
2525,71 II H   ,7105-01-447-0266    ,, , ,0,,,,
2530,71 II H   ,7105-01-447-0271    ,, , ,0,,,,
2534,71 II H   ,7105-01-447-0275    ,, , ,0,,,,
2538,71 II H   ,7105-01-447-0279    ,, , ,0,,,,
2547,71 II H   ,7105-01-447-0288    ,, , ,0,,,,
